customer_id,product_id,transaction_type,category,amount,purchase_date,payment_mode
3604309,8745333,Flight Booking,New York to Delhi,10015,1/1/2023,Amex Platinum
14703890,10077214,Grocery Shopping,Walgreens,1299,2/25/2023,Corporate credit card
13251058,1895211,Grocery Shopping,Walgreens,1299,1/15/2023,Amex Platinum
3830563,7325411,Flight Booking,New York to Delhi,10025,1/1/2023,Corporate credit card
14034102,460794,Grocery Shopping,Walgreens,1299,1/1/2023,Corporate credit card
14882148,4393235,Grocery Shopping,Walgreens,1299,3/14/2023,Corporate credit card
4451108,15256727,Grocery Shopping,Walgreens,1299,2/1/2023,Corporate credit card
1573102,8703572,Hotel Stay,Villa in Tuscany,30004,1/1/2023,Corporate credit card
5985631,13321925,Technology Investment,Gucci,50696,1/1/2023,Corporate credit card
1103340,5985956,Grocery Shopping,Walgreens,1299,5/11/2023,Corporate credit card
14204281,16772230,Grocery Shopping,Walgreens,1299,1/1/2023,Corporate credit card
12442439,4434660,Grocery Shopping,Walgreens,1299,1/1/2023,Amex Platinum
12830098,5477910,Grocery Shopping,Walgreens,1299,6/15/2023,Corporate credit card
16436757,402599,Grocery Shopping,Walgreens,1299,1/1/2023,Corporate credit card
2220630,2918175,Grocery Shopping,Walgreens,1299,5/11/2023,Corporate credit card
7844055,9386173,Hotel Stay,Villa in Tuscany,30023,5/6/2023,Amex Platinum
15496602,10303428,Grocery Shopping,Walgreens,1299,5/17/2023,Corporate credit card
12107909,5162848,Grocery Shopping,Walgreens,1299,6/15/2023,Corporate credit card
390439,16694159,Hotel Stay,Villa in Tuscany,30031,1/1/2023,Amex Platinum
5130186,15029570,Grocery Shopping,Walgreens,1299,4/20/2023,Corporate credit card
16010028,13621540,Grocery Shopping,Walgreens,1299,4/13/2023,Corporate credit card
7727082,1455197,Fabric Procurement,Sustainable Fabric Import,1299,1/1/2023,Amex Platinum
3529396,3168324,Technology Investment,Gucci,50696,1/1/2023,Amex Platinum
16151527,2836965,Hotel Stay,Villa in Tuscany,30035,1/1/2023,Corporate credit card
14570931,7180967,Fabric Procurement,Sustainable Fabric Import,1299,1/1/2023,Corporate credit card
12264410,8515482,Flight Booking,New York to Delhi,10032,1/1/2023,Amex Platinum
4025977,10075888,Fabric Procurement,Sustainable Fabric Import,1299,2/3/2023,Amex Platinum
4421148,7466845,Fabric Procurement,Sustainable Fabric Import,1299,1/1/2023,Corporate credit card
13953661,4479722,Fabric Procurement,Sustainable Fabric Import,1299,1/22/2023,Amex Platinum
6222479,1546625,Luxury Shopping,Gucci,50696,1/1/2023,Amex Platinum
3305745,14137069,Flight Booking,New York to Delhi,10043,1/1/2023,Amex Platinum
8552943,8555317,Fabric Procurement,Sustainable Fabric Import,1299,1/1/2023,Amex Platinum
14537040,186735,Fabric Procurement,Sustainable Fabric Import,1299,1/1/2023,Corporate credit card
2918641,602926,Fabric Procurement,Sustainable Fabric Import,1299,4/7/2023,Amex Platinum
2898520,16318601,Fabric Procurement,Sustainable Fabric Import,1299,5/3/2023,Corporate credit card
14445108,6751718,Fabric Procurement,Sustainable Fabric Import,1299,1/1/2023,Amex Platinum
15678925,12718452,Fabric Procurement,Sustainable Fabric Import,1299,6/15/2023,Amex Platinum
11154267,3778482,Fabric Procurement,Sustainable Fabric Import,1299,1/1/2023,Corporate credit card
14589603,12605938,Technology Investment,Gucci,50696,1/1/2023,Corporate credit card
5902982,6135151,Fabric Procurement,Sustainable Fabric Import,1299,1/1/2023,Corporate credit card
4713408,12520215,Hotel Stay,Villa in Tuscany,30064,1/1/2023,Amex Platinum
10552414,14263597,Fabric Procurement,Sustainable Fabric Import,1299,1/1/2023,Amex Platinum
6298795,7942127,Fabric Procurement,Sustainable Fabric Import,1299,6/15/2023,Corporate credit card
8966222,10396292,Fabric Procurement,Sustainable Fabric Import,1299,1/1/2023,Amex Platinum
